Date,Open,High,Low,Volume,Brand_Name,Ticker,Industry_Tag,Country,Dividends,Stock Splits,Close
2024-08-23 00:00:00-04:00,225.65899658203125,228.22000122070312,224.33999633789065,38607139.0,apple,AAPL,technology,usa,0.0,0.0,226.83999633789065
2024-08-23 00:00:00-04:00,225.66000366210932,228.22000122070312,224.3300018310547,38629400.0,apple,AAPL,technology,usa,0.0,0.0,226.83999633789065
2024-08-22 00:00:00-04:00,227.7899932861328,228.33999633789065,223.8999938964844,43665900.0,apple,AAPL,technology,usa,0.0,0.0,224.52999877929688
2024-08-21 00:00:00-04:00,226.5200042724609,227.97999572753903,225.0500030517578,34729100.0,apple,AAPL,technology,usa,0.0,0.0,226.3999938964844
2024-08-20 00:00:00-04:00,225.7700042724609,227.1699981689453,225.4499969482422,30241200.0,apple,AAPL,technology,usa,0.0,0.0,226.509994506836
2024-08-19 00:00:00-04:00,225.72000122070312,225.9900054931641,223.0399932861328,40639000.0,apple,AAPL,technology,usa,0.0,0.0,225.88999938964844
2024-08-16 00:00:00-04:00,223.9199981689453,226.8300018310547,223.6499938964844,44289900.0,apple,AAPL,technology,usa,0.0,0.0,226.0500030517578
2024-08-16 00:00:00-04:00,223.9199981689453,226.8271026611328,223.6501007080078,42366146.0,apple,AAPL,technology,usa,0.0,0.0,226.0500030517578
2024-08-15 00:00:00-04:00,224.6000061035156,225.3500061035156,222.759994506836,46335300.0,apple,AAPL,technology,usa,0.0,0.0,224.72000122070312
2024-08-14 00:00:00-04:00,220.57000732421875,223.02999877929688,219.6999969482422,41888500.0,apple,AAPL,technology,usa,0.0,0.0,221.72000122070312
2024-08-13 00:00:00-04:00,219.009994506836,221.88999938964844,219.009994506836,44095400.0,apple,AAPL,technology,usa,0.0,0.0,221.2700042724609
2024-08-12 00:00:00-04:00,216.07000732421875,219.509994506836,215.6000061035156,37992400.0,apple,AAPL,technology,usa,0.25,0.0,217.52999877929688
2024-08-09 00:00:00-04:00,212.0800018310547,216.77999877929688,211.97999572753903,41126391.0,apple,AAPL,technology,usa,0.0,0.0,216.2400054931641
2024-08-09 00:00:00-04:00,212.1000061035156,216.77999877929688,211.97000122070312,42171700.0,apple,AAPL,technology,usa,0.0,0.0,216.2400054931641
2024-08-08 00:00:00-04:00,213.1100006103516,214.1999969482422,208.8300018310547,44598400.0,apple,AAPL,technology,usa,0.0,0.0,213.3099975585937
2024-08-07 00:00:00-04:00,206.8999938964844,213.63999938964844,206.38999938964844,63402300.0,apple,AAPL,technology,usa,0.0,0.0,209.82000732421875
2024-08-06 00:00:00-04:00,205.3000030517578,209.9900054931641,201.07000732421875,69548700.0,apple,AAPL,technology,usa,0.0,0.0,207.22999572753903
2024-08-05 00:00:00-04:00,199.08999633789065,213.5,196.0,119367100.0,apple,AAPL,technology,usa,0.0,0.0,209.2700042724609
2024-08-02 00:00:00-04:00,219.1499938964844,225.6000061035156,217.7100067138672,98480100.0,apple,AAPL,technology,usa,0.0,0.0,219.8600006103516
2024-08-02 00:00:00-04:00,219.1499938964844,225.6000061035156,217.7100067138672,98083537.0,apple,AAPL,technology,usa,0.0,0.0,219.8600006103516
2024-08-01 00:00:00-04:00,224.3699951171875,224.47999572753903,217.0200042724609,61877900.0,apple,AAPL,technology,usa,0.0,0.0,218.3600006103516
2024-07-31 00:00:00-04:00,221.44000244140625,223.82000732421875,220.6300048828125,49901700.0,apple,AAPL,technology,usa,0.0,0.0,222.0800018310547
